Country,GDP per capita,Life satisfaction
Brazil,8669.998,6.1
Mexico,9009.28,6.0
Russia,9054.914,5.5
Costa Rica,10936.243,6.3
Poland,12495.334,6.1
Latvia,13618.569,6.2
Lithuania,14210.28,6.4
Slovak Republic,15991.736,6.5
Czech Republic,17256.918,6.9
Estonia,17288.083,6.5
Greece,18064.288,5.8
Portugal,19121.592,5.8
Slovenia,20732.482,6.5
Spain,25864.721,6.5
Korea,27195.197,5.8
Italy,29866.581,6.5
Japan,32485.545,6.1
Israel,35343.336,7.2
New Zealand,37044.891,7.3
France,37675.006,6.7
Belgium,40106.632,6.8
Germany,40996.511,7.3
Finland,41973.988,7.9
Canada,43331.961,7.0
Netherlands,43603.115,7.5
Austria,43724.031,7.2
United Kingdom,43770.688,6.8
Sweden,49866.266,7.3
Iceland,50854.583,7.6
United States,55805.204,7.0
Norway,74822.106,7.3
Switzerland,80675.308,7.5
Luxembourg,101994.093,7.4
